Date,Town,State/Province,Latitude,Longitude,Number,Image
7/31/2018,Sherwood,AR,34.8,-92.2,3,
7/29/2018,Denton,TX,33.2,-97.1,1,
7/14/2018,Arlington Heights,IL,42.1,-88,1,
7/7/2018,Valley City,ND,46.9,-98,1,
7/4/2018,Denton,TX,33.2,-97.1,1,
7/3/2018,Billerica,MA,42.6,-71.3,1,
7/3/2018,Newmarket,ON,44.1,-79.5,1,
6/30/2018,London,ON,43,-81.2,2,
6/28/2018,East Islip,NY,40.7,-73.2,1,
6/28/2018,Pickering,ON,43.8,-79.1,1,
6/28/2018,Staten Island,NY,40.6,-74.1,1,
6/26/2018,Urbana,IL,40.1,-88.2,3,
6/23/2018,Villa Park,IL,41.9,-88,1,
6/22/2018,Leesport,PA,40.4,-76,1,
6/22/2018,Pickering,ON,43.8,-79.1,2,
6/21/2018,Newtown,PA,40.3,-75,1,
6/17/2018,Sellersville,PA,40.4,-75.3,1,
6/16/2018,Creemore,ON,44.4,-80.1,1,
6/13/2018,Ajax,ON,43.9,-79,1,
6/13/2018,Arundel,ME,43.4,-70.5,3,
6/12/2018,Decatur,NE,41.9,-96.2,1,
6/9/2018,Coram,NY,40.9,-73,1,
6/9/2018,Schererville,IN,41.5,-87.4,1,
6/8/2018,Hartford City,IN,40.5,-85.4,1,
6/8/2018,Shelby,MI,43.6,-86.4,1,
6/5/2018,Chesapeake City,MD,39.5,-75.9,1,
6/4/2018,Arlington,TX,32.6,-97.2,1,
6/3/2018,Barnstable,MA,41.6,-70.4,1,
6/3/2018,Deer Park,NY,40.8,-73.3,1,
6/3/2018,Honor,MI,44.7,-86,2,
6/1/2018,Oakland,NE,41.8,-96.5,1,
5/31/2018,Loveland,OH,39.3,-84.3,1,
5/30/2018,Ottawa Lake,MI,41.8,-83.7,1,
5/29/2018,Babylon,NY,40.7,-73.3,1,
5/28/2018,Clarence-Rockland,ON,45.4,-75.2,2,
5/28/2018,Mansfield,MA,42.1,-71.2,1,
5/28/2018,Oak Creek,WI,42.9,-87.9,2,
5/28/2018,Port Elgin,ON,44.4,-81.4,1,
5/28/2018,West Nyack,NY,41.1,-74,3,
5/27/2018,Albertville,MN,45.2,-93.7,1,
5/27/2018,Dublin,OH,40.1,-83.1,1,
5/27/2018,Finlayson,MN,46.2,-92.9,2,
5/26/2018,Buffalo,NY,43,-78.8,1,
5/25/2018,Godbout,QC,49.3,-67.6,1,
5/25/2018,Midland,ON,44.7,-79.9,1,
5/25/2018,Sault Ste. Marie,ON,46.5,-84.3,3,
5/25/2018,Wills Point,TX,32.7,-95.9,1,
5/24/2018,Ayer,MA,42.6,-71.6,1,
5/24/2018,Beardmore,ON,49.6,-88,1,
5/24/2018,Hylo,AB,54.7,-112.4,1,
5/24/2018,Kewadin,MI,45,-85.4,1,
5/24/2018,Milwaukee,WI,43,-87.9,1,
5/24/2018,Richboro,PA,40.2,-75,1,
5/24/2018,Richlands,NC,34.9,-77.5,3,
5/23/2018,Butler,PA,40.9,-79.9,1,
5/23/2018,Clayton,MO,38.6,-90.3,1,
5/23/2018,Concord,NH,43.2,-71.5,1,
5/23/2018,Duluth,GA,34,-84.2,2,
5/23/2018,Kingston,NY,41.9,-74.1,1,
5/23/2018,Manhattan,KS,39.2,-96.6,1,
5/23/2018,Toronto,ON,43.7,-79.4,1,
5/22/2018,Dryden,ON,49.8,-92.8,1,
5/22/2018,Flin Flon,MB,54.8,-101.9,2,
5/22/2018,Kenosha,WI,42.6,-87.8,2,
5/22/2018,Livonia,MI,42.4,-83.4,1,
5/22/2018,Oxford,OH,39.5,-84.7,1,
5/22/2018,Rowley,MA,42.7,-70.9,2,
5/22/2018,Saint Maries,ID,47.3,-116.6,2,
5/22/2018,Toledo,OH,41.6,-83.6,1,
5/21/2018,Anderson,IN,40.1,-85.7,1,
5/21/2018,Cuyahoga Falls,OH,41.2,-81.5,1,
5/21/2018,Englishtown,NJ,40.3,-74.4,1,
5/21/2018,Erlanger,KY,39,-84.6,1,
5/21/2018,Fatima,QC,47.4,-61.9,1,
5/21/2018,Fredericton,NB,46,-66.7,1,
5/21/2018,Henrietta,NY,43.1,-77.6,1,
5/21/2018,Huber Heights,OH,39.8,-84.1,1,
5/21/2018,Rowley,MA,42.7,-70.9,1,
5/21/2018,Storm Lake,IA,42.7,-95.2,1,
5/20/2018,Barto,PA,40.4,-75.6,1,
5/20/2018,Lumsden,SK,50.6,-104.9,1,
5/20/2018,Minneapolis,MN,44.9,-93.3,3,
5/20/2018,Red Lake,ON,51,-93.8,1,
5/19/2018,Grandview,MB,51.2,-100.7,1,
5/19/2018,Le Roy,NY,43,-78,2,
5/19/2018,Mar,ON,44.8,-81.3,1,
5/19/2018,Mercer,WI,46.2,-90.1,1,
5/19/2018,Oxbow,SK,49.2,-102.2,1,
5/19/2018,Oxford,OH,39.5,-84.7,1,
5/19/2018,Saint-Thomas-de-Kent,NB,46.5,-64.6,2,
5/18/2018,Aumond,QC,46.5,-75.9,6,
5/18/2018,Barnstable,MA,41.7,-70.3,1,
5/18/2018,Bemidji,MN,47.5,-94.8,2,
5/18/2018,Delhi charter Township,MI,42.6,-84.5,2,
5/18/2018,Gracefield,QC,46.1,-76.1,,
5/18/2018,Laurel,ON,44,-80.1,1,
5/18/2018,Lincoln,MI,44.7,-83.4,1,
5/18/2018,Lincoln,NE,40.8,-96.6,1,
5/18/2018,Montréal,QC,45.5,-73.9,1,
5/18/2018,Oxford,OH,39.5,-84.7,1,
5/17/2018,Brookfield,IL,41.8,-87.8,2,
5/17/2018,Capucins,QC,49.1,-66.8,2,
5/17/2018,Chaput Hughes,ON,48.1,-80.1,1,
5/17/2018,Hamilton,ON,43.2,-80,1,
5/17/2018,Lexington,KY,38,-84.5,1,
5/17/2018,Linkletter,PE,46.4,-63.8,1,
5/17/2018,Mill Village,NS,44.1,-64.6,1,
5/17/2018,Musidora,AB,53.7,-111.6,1,
5/17/2018,Northlake,IL,41.9,-87.9,1,
5/17/2018,Tofield,AB,53.4,-112.7,1,
5/17/2018,Truro,NS,45.4,-63.3,2,
5/16/2018,Aurora,ON,44,-79.4,2,
5/16/2018,Chapel Hill,NC,36,-79.1,1,
5/16/2018,Clavet,SK,52,-106.5,1,
5/16/2018,Dalmeny,SK,52.3,-106.8,1,
5/16/2018,Dubuc,SK,50.7,-102.5,1,
5/16/2018,Grafton,ND,48.5,-97.4,1,
5/16/2018,Kehewin,AB,54.2,-110.6,1,
5/16/2018,Kitchener,ON,43.4,-80.4,1,
5/16/2018,La Salle,MB,49.7,-97.3,1,
5/16/2018,Milton,ON,43.5,-79.8,1,
5/16/2018,Northlake,IL,41.9,-87.9,1,
5/16/2018,Rochester,NY,43.2,-77.6,1,
5/16/2018,Saint Louis Park,MN,45,-93.4,1,
5/16/2018,Spruce Lake,SK,53.6,-108.8,1,
5/16/2018,Trenton,MI,42.1,-83.2,1,
5/15/2018,Antigonish,NS,45.6,-62,1,
5/15/2018,Augusta,ME,44.3,-69.7,2,
5/15/2018,Aurora,IL,41.8,-88.3,1,
5/15/2018,Bayside,WI,43.2,-87.9,3,
5/15/2018,Boyne City,MI,45.3,-85.1,2,
5/15/2018,Desbarats,ON,46.3,-83.9,1,
5/15/2018,Dyer,IN,41.5,-87.5,2,
5/15/2018,East Bay,NS,46,-60.4,1,
5/15/2018,Francestown,NH,43,-71.8,2,
5/15/2018,Green Bay,WI,44.5,-88,1,
5/15/2018,Hawkesbury,ON,45.6,-74.6,3,
5/15/2018,Hibbing,MN,47.4,-92.9,1,
5/15/2018,Madawaska,ME,47.3,-68.3,1,
5/15/2018,Melbourne Village,FL,28.1,-80.7,1,
5/15/2018,Northbrook,IL,42.1,-87.8,1,
5/15/2018,Piedmont,OK,35.6,-97.7,1,
5/15/2018,Plymouth,MN,45,-93.5,1,
5/15/2018,Prince Edward,ON,44,-77.1,1,
5/15/2018,Uxbridge,ON,44.2,-79.2,1,
5/15/2018,Whitby,ON,43.9,-78.9,1,
5/15/2018,Winnipeg,MB,49.8,-97.1,2,
5/14/2018,Atwood,KS,39.8,-101,1,
5/14/2018,Berkeley Township,NJ,39.9,-74.1,1,
5/14/2018,Birch Hills,SK,53,-105.4,1,
5/14/2018,Britton,SD,45.8,-97.6,2,
5/14/2018,Calumet Township,MI,47.3,-88.3,1,
5/14/2018,Davenport,IA,41.6,-90.5,2,
5/14/2018,Dearborn,MI,42.3,-83.2,1,
5/14/2018,Demorestville,ON,44.1,-77.2,1,
5/14/2018,Elmhurst,IL,41.9,-88,1,
5/14/2018,Exeter,NH,43,-70.9,1,
